bvid,view,like,coin,favorite,share,reply,ep_id,title,cid
BV1uxE16ZE7e,15881565,837321,1053957,185982,29261,63294,3854801,慕兰之战01,39061882951
BV1UxE16oETX,10502241,434988,587973,90138,4274,20670,3854802,慕兰之战02,39061883049
BV1vT411d7QE,179985214,630583,452840,235805,68226,40289,733316,凡人风起天南1重制版,1022370693
BV1by4y1D7D2,36387239,186795,180721,34200,4558,3673,733317,凡人风起天南2重制版,1022370020
BV1sc411G7WD,20429199,105135,99828,17472,1486,1509,733333,燕家堡之战1重制版,1145682597
BV1VN411C76V,18619695,95296,91572,15402,1343,1128,733334,燕家堡之战2重制版,1158276219
BV16b4y1t7tB,41420450,414817,415466,48978,12847,14490,428988,魔道争锋1,453947774
BV1EL411g7va,29911275,255473,253432,27474,7278,5441,428989,魔道争锋2,453949369
BV1L3411M7LK,29767234,368022,394726,39405,11391,12117,471898,再别天南1,582514433
BV1BT4y1r77T,27754889,333094,367694,35828,11358,14170,471899,再别天南2,713585727
BV1Yj41197vD,38077998,427083,493602,57556,20283,18434,762895,星海飞驰序章1,27790738026
BV1qm4y1W7QG,31338662,361886,450549,48600,5801,10765,762896,星海飞驰序章2,27807058122
BV1GfwFenEGz,32546498,294746,317943,46294,9733,9179,1231533,外海风云1,27929742189
BV1VowFeQET9,24187850,217178,254087,35303,3691,11590,1231534,外海风云2,27929742337
